CPF,Nome,Idade,UF,Regiao,Setor,Renda_Declarada,Renda_Presumida,Patrimonio,Alteracoes_Declaracao,Media_Depositos,Transacoes_Especie,Gastos_Cartao,Investimentos_Nao_Declarados,Pagamentos_PIX_TED,Media_Renda_Setor,Alerta_Gastos,Alerta_Patrimonio,Autuacoes_Anteriores,Proporcao_Renda_Patrimonio,Nivel_Complexidade,renda_nao_declarada,sonegador,Score_Risco,Relacoes_Suspeitas
35281485906,Saamyya el-Ramin,23,MG,Sudeste,Educação,76570.29,100307.08,380554.34,3,9382.81,270.24,2702.73,3646.55,74868.85,99922.08285578748,FALSE,FALSE,0,0.2012,2,-0,não,0.18,0
30427587323,Jalib Briggs,62,SP,Sudeste,Comércio,73349.41,100488.69,525915.27,1,9208.63,2528.81,2734.27,3880.27,45667.52,149730.06027473844,FALSE,FALSE,0,0.1395,1,-0,não,0.22,2
53617490428,Katelyn Dorsey,36,RJ,Sudeste,Serviços,161051.32,215808.77,805256.6,1,19915.79,118.38,6612.02,8490.33,116645.91,120094.74922628618,TRUE,FALSE,0,0.2,1,-0,não,0.19,0
67639975323,Jacob Fox,55,MG,Sudeste,Serviços,94344.06,126421.04,432095.79,0,10194.06,1151.09,3157.34,13358.44,103024.2,120094.74922628618,FALSE,FALSE,0,0.2183,1,-0,não,0.2,2
60114225931,Nada al-Koroma,38,SP,Sudeste,Serviços,32353.23,44323.93,104177.4,0,3992.12,11.95,1203.23,10501.28,28675.88,120094.74922628618,FALSE,FALSE,1,0.3106,1,-0,não,0.27,0
31125454423,Bryan Seamans,30,GO,Centro-Oeste,Comércio,177901.94,236609.58,1309358.28,2,24006.19,1114.21,7724.49,16034.42,267212.55,149730.06027473844,TRUE,FALSE,1,0.1359,2,-0,não,0.28,0
41026696488,Ved Nguyen,48,GO,Centro-Oeste,Financeiro,334284.5,384427.18,2236363.31,1,38407.71,724.45,11322.99,6230.97,349039.38,295744.6433800561,FALSE,FALSE,1,0.1495,3,-0,não,0.23,0
55816198729,Mark Tizon,43,BA,Nordeste,Educação,114078.07,146019.93,126626.66,1,12331.53,404.07,4463.16,10963.17,139973.64,99922.08285578748,FALSE,FALSE,0,0.9009,1,-0,não,0.18,1
43821499637,Karen Cochrane,41,GO,Centro-Oeste,Serviços,132547.39,190868.24,536816.93,1,13750.2,257.85,6308,6652.88,127194.49,120094.74922628618,TRUE,FALSE,0,0.2469,1,-0,não,0.21,2
31585305587,Megan Little,35,BA,Nordeste,Serviços,197215.55,234686.5,887469.98,2,18461.83,623.95,7669.48,8205.39,285700.7,120094.74922628618,FALSE,FALSE,0,0.2222,1,-0,não,0.16,0
30961195635,Kassandra Graham,67,RS,Sul,Financeiro,216622.64,229620,1078780.75,1,17157.82,1594.49,6990.99,12867,128896.05,295744.6433800561,FALSE,FALSE,0,0.2008,3,-0,não,0.14,2
34552502452,Khaalid el-Sadri,37,SP,Sudeste,Indústria,58870.12,81240.77,346745.01,0,7139.63,320.72,1959.13,9508.56,55227.49,199329.2776114992,FALSE,FALSE,1,0.1698,1,-0,não,0.28,1
30962179086,Frederico Welch,46,SC,Sul,Serviços,134463.79,178836.84,474657.18,0,15678.17,165.76,5581.2,11285.81,128337.75,120094.74922628618,TRUE,FALSE,0,0.2833,1,-0,não,0.19,1
46144890724,Brenda Garcia,55,SP,Sudeste,Indústria,150409.46,166954.5,1224333,1,14388.32,955.12,4867.64,9023.88,118207.42,199329.2776114992,FALSE,FALSE,1,0.1229,3,-0,não,0.22,0
60119638208,Spiro Davis,53,MG,Sudeste,Serviços,138864.55,170803.4,147196.42,0,16250.86,1348.93,4169.82,10992.62,147226.33,120094.74922628618,FALSE,FALSE,0,0.9434,1,-0,não,0.18,0
41893682997,Winchell Maqbool,58,RJ,Sudeste,Serviços,127750.99,189071.47,338540.12,0,14210.49,670.35,6579.48,2285.36,188891.04,120094.74922628618,TRUE,FALSE,1,0.3774,1,-0,não,0.31,0
48419344554,Nadeem el-Harron,48,RJ,Sudeste,Comércio,115304.11,136058.85,600734.41,2,11609.23,981.4,4813.19,10136.35,121288.79,149730.06027473844,TRUE,FALSE,0,0.1919,1,-0,não,0.16,0
18004022866,Aline Alarid,30,GO,Centro-Oeste,Serviços,164269.79,164269.79,844346.72,0,15886.57,967.28,2379.59,14453.7,196930.09,120094.74922628618,FALSE,FALSE,0,0.1946,2,-0,não,0.12,0
30284394192,Dejesus Sanchez,64,RJ,Sudeste,Indústria,253559.57,342305.42,1011702.68,0,26386.54,301.67,6292.14,4959.42,344431.75,199329.2776114992,FALSE,FALSE,0,0.2506,3,-0,não,0.19,2
18005879599,Jaylen Diaz Castaneda,49,SP,Sudeste,Serviços,183656.88,260792.77,446286.22,0,16207.79,45.05,9324.73,5058.75,168480.27,120094.74922628618,TRUE,FALSE,0,0.4115,1,-0,não,0.21,0
30887337556,Christopher Hesse,51,RJ,Sudeste,Serviços,125381.72,174280.59,739752.15,0,14557.2,490.62,4588.1,8165.13,175468.53,120094.74922628618,FALSE,FALSE,0,0.1695,1,-0,não,0.2,1
86994544207,Aron Coutee,38,SP,Sudeste,Serviços,136606.86,168026.44,610632.66,0,14896.57,293.29,5427.62,14377.01,107717.8,120094.74922628618,FALSE,FALSE,0,0.2237,1,-0,não,0.16,1
60114375315,Jose Casaus,43,SP,Sudeste,Indústria,115400.75,117708.76,447754.91,1,11157.25,1057.62,515.91,9967.32,88539.05,199329.2776114992,FALSE,FALSE,0,0.2577,1,-0,não,0.12,0
50186636916,Randa al-Hannan,38,RS,Sul,Serviços,174373.21,195298,425470.63,1,17496.18,1101.94,4106.7,409.54,142940.52,120094.74922628618,FALSE,FALSE,0,0.4098,2,-0,não,0.15,1
53387854850,Wardiyya el-Doud,46,PE,Nordeste,Comércio,109295.37,119131.95,441553.29,1,10334.21,2407.27,2844.39,12032.5,89134.38,149730.06027473844,FALSE,FALSE,1,0.2475,2,-0,não,0.23,1
60114608851,William Kiggins,47,PE,Nordeste,Comércio,116795.02,143657.87,677411.12,1,10897.7,2639.88,4677.68,13173.89,128656.25,149730.06027473844,TRUE,FALSE,0,0.1724,1,-0,não,0.19,1
47555788426,Faaiq al-Zaman,47,SP,Sudeste,Transporte,80869.02,104321.04,453675.2,0,9656.29,1625.97,2683.69,14116.26,111267.74,100658.27340820312,FALSE,FALSE,0,0.1783,1,-0,não,0.19,2
21001541910,Marcus Brazee,36,MG,Sudeste,Agropecuária,126949.22,124410.24,512874.85,0,10616.55,294.74,2802.53,17526.77,82474.71,100261.125625,FALSE,FALSE,1,0.2475,1,-0,não,0.19,0
55222480023,Alexander Yocum,50,PR,Sul,Serviços,116698.19,91024.59,379269.12,2,6259.17,1791.01,1672.38,9405.75,75508.05,120094.74922628618,FALSE,FALSE,0,0.3077,1,-0,não,0.08,0
42472842079,Daniel Cohen,54,PR,Sul,Serviços,35770.45,43282.24,274001.65,0,3636.54,141.71,1547.73,9854.96,35666.69,120094.74922628618,TRUE,FALSE,0,0.1305,1,-0,não,0.16,0
31580193867,Majdi al-Barakat,25,SP,Sudeste,Indústria,252042.85,345298.7,1605512.95,0,25616.77,1236.29,12293.13,9644.92,252163.13,199329.2776114992,TRUE,FALSE,0,0.157,3,-0,não,0.21,0
86992672388,Amanda Montoya,53,RJ,Sudeste,Indústria,34521.42,52472.56,105290.33,3,4916.62,19110.83,1447.15,40137.21,42765.6,199329.2776114992,TRUE,FALSE,1,0.3279,1,690.4300000000003,sim,0.51,1
31585735665,Mubaaraka el-Ghaffari,54,SP,Sudeste,Comércio,121505.89,95989.65,572292.74,1,8424.53,159.77,1992.2,1949.65,49906.48,149730.06027473844,FALSE,FALSE,0,0.2123,1,-0,não,0.06,0
43943071554,Nicholas Waugh,46,PR,Sul,Comércio,108838.02,164345.41,636702.42,4,16117.66,9787.29,4687.36,56172.27,106612.76,149730.06027473844,TRUE,FALSE,0,0.1709,3,1088.3800000000047,sim,0.33,0
51533853361,Charneissha Clark,33,GO,Centro-Oeste,Comércio,127555.99,164547.23,1002590.08,2,12816.35,64.08,2290.92,7434.18,187741.76,149730.06027473844,FALSE,FALSE,0,0.1272,2,-0,não,0.18,0
50387661700,Raita el-Qasim,49,PR,Sul,Serviços,91849.18,98278.62,515273.9,1,7885.71,1086.61,1476,9938.53,67688.49,120094.74922628618,FALSE,FALSE,0,0.1783,2,-0,não,0.14,0
30281289847,Eddy Valencia Anchondo,40,BA,Nordeste,Indústria,241882.08,391848.97,599867.56,3,28615.64,6969.47,9356.14,45640.04,325808.8,199329.2776114992,FALSE,FALSE,0,0.4032,2,29025.849999999977,sim,0.32,2
86991524809,Aabid el-Amiri,49,SC,Sul,Serviços,151632.98,203188.19,691446.39,0,15958.14,587.73,6302.9,7209.15,218058.37,120094.74922628618,TRUE,FALSE,1,0.2193,1,-0,não,0.27,1
48328583866,Alia Mayes,24,SC,Sul,Serviços,96747.9,132544.62,702389.75,2,11433.14,581.83,3636.43,5401.53,82494.83,120094.74922628618,FALSE,FALSE,0,0.1377,2,-0,não,0.2,0
46210410228,Joshua Gilman,33,PR,Sul,Construção Civil,86579.94,116017.12,409523.12,1,9231.44,1927.41,1351.61,10606.17,78596.13,99772.2331975,FALSE,FALSE,0,0.2114,1,-0,não,0.21,1
42168840666,Raadiya el-Baig,50,RJ,Sudeste,Transporte,100542.94,178966.43,580132.76,2,12526.5,5123.73,4534.54,51290.11,200218.06,100658.27340820312,TRUE,FALSE,0,0.1733,3,28152.01999999999,sim,0.34,0
43090304502,Andrew Locken,37,SP,Sudeste,Serviços,123239.41,103521.1,579225.23,1,9205.56,1435.46,3190.58,11287.11,79124.03,120094.74922628618,FALSE,FALSE,1,0.2128,2,-0,não,0.17,0
67629288923,Natalia Bennett,39,PR,Sul,Serviços,117674.58,161214.17,824898.81,0,14583.9,1496.49,4314.65,11738.53,60394.43,120094.74922628618,FALSE,FALSE,0,0.1427,1,-0,não,0.21,0
41184824217,Steffen Brown,55,GO,Centro-Oeste,Serviços,106744.57,176128.54,635130.19,5,15923.61,8936.22,2669.83,52150.44,111154.64,120094.74922628618,FALSE,FALSE,0,0.1681,2,16011.684999999998,sim,0.35,0
45067310690,Ashley Lemming,47,SC,Sul,Saúde,126896.41,148468.8,464440.86,1,10884.89,335.67,2545.67,8895.17,87565.44,98524.38325734549,FALSE,FALSE,1,0.2732,1,-0,não,0.23,0
67635243386,Amru al-Abraham,42,SP,Sudeste,Indústria,164759.48,225720.49,418489.08,0,20297.4,2033.8,5610.51,8556.78,187529.42,199329.2776114992,FALSE,FALSE,1,0.3937,2,-0,não,0.29,0
30590963807,Devon Huffman,32,SC,Sul,Agropecuária,125355.63,188033.44,500168.96,0,15457.36,38.51,7758.13,6966.6,117087.42,100261.125625,TRUE,FALSE,0,0.2506,2,-0,não,0.22,1
43760190643,Leonard Hale,45,SP,Sudeste,Saúde,141260.62,172337.96,717603.95,1,13888.39,209.16,4659.4,13994.3,197552.1,98524.38325734549,FALSE,FALSE,1,0.1969,2,-0,não,0.24,1
30214739333,Naseem al-Assaf,59,SP,Sudeste,Comércio,116824,146030,839964.56,2,11238.94,94.14,1076.33,6733.3,81543.84,149730.06027473844,FALSE,FALSE,2,0.1391,1,-0,não,0.33,1
49122045924,Tyrone Gabriel,39,DF,Centro-Oeste,Serviços,148536.01,193096.81,683265.65,2,16239.02,824.76,4773.34,12127.76,182688.17,120094.74922628618,FALSE,FALSE,0,0.2174,2,-0,não,0.19,1
47861957404,Muaaid al-Moustafa,26,SP,Sudeste,Serviços,110852.91,147434.37,589737.48,0,10349.32,397.25,5542.51,4446.69,91381.81,120094.74922628618,TRUE,FALSE,0,0.188,1,-0,não,0.19,0
55532941406,Aylissa Howlingwolf,35,BA,Nordeste,Serviços,104931.18,91290.13,431267.15,1,6306.53,187.77,2127.36,9242.37,53122.88,120094.74922628618,FALSE,FALSE,0,0.2433,1,-0,não,0.08,0
31588230875,Devyne Cooper,51,RJ,Sudeste,Serviços,98189.75,132556.16,490948.75,1,10045.36,2136.18,3678.86,3189.68,108172.46,120094.74922628618,FALSE,FALSE,0,0.2,2,-0,não,0.21,1
30320624167,Pornchai Springer,27,SP,Sudeste,Serviços,140004,172204.92,680419.44,0,16323,236.59,1282.14,11452.77,119052.9,120094.74922628618,FALSE,FALSE,0,0.2058,1,-0,não,0.16,1
31580562748,Sadeeda el-Lone,41,SP,Sudeste,Comércio,142068.4,187530.29,629363.01,1,14966.23,3958.93,4204.07,5483.35,121713.96,149730.06027473844,FALSE,FALSE,0,0.2257,1,-0,não,0.22,0
49420649018,Shawnna Alcon,61,BA,Nordeste,Serviços,116235.05,125533.85,610234.01,2,10011.84,1118.17,2115.08,6817.72,101192.67,120094.74922628618,FALSE,FALSE,0,0.1905,1,-0,não,0.14,1
18006808274,Alyssa Serrano,43,DF,Centro-Oeste,Serviços,140347.82,196486.95,1131203.43,2,13933.77,2873.85,2201.64,4756.41,168086.42,120094.74922628618,FALSE,FALSE,0,0.1241,2,-0,não,0.23,2
31580375761,Mariah Jarvis,44,RJ,Sudeste,Construção Civil,108070.44,173993.41,751089.56,3,14077.9,1732.47,5765.19,41529.21,96310.93,99772.2331975,TRUE,FALSE,0,0.1439,2,11887.75,sim,0.27,0
86998325064,Zuhra al-Popal,66,SP,Sudeste,Indústria,162804.75,205133.99,884029.79,2,17270.75,1003.67,5844.93,10901.64,131026.19,199329.2776114992,FALSE,FALSE,0,0.1842,1,-0,não,0.18,1
86990138844,Jose Mccomb,52,SP,Sudeste,Comércio,80688.95,97633.63,23399.8,0,7644.3,1006.15,2216.83,12882.38,90045.33,149730.06027473844,FALSE,FALSE,0,3.4483,1,-0,não,0.17,0
35283132181,Francine Gregory,45,PE,Nordeste,Indústria,168501.85,205572.26,963830.58,0,16231.75,174.41,4689.72,12751.12,151609.28,199329.2776114992,FALSE,FALSE,0,0.1748,1,-0,não,0.16,2
86991504635,Johana Gomez,42,SP,Sudeste,Financeiro,378751.31,443139.03,1469555.08,0,41643.45,403.99,4911.56,4430.3,182756.21,295744.6433800561,FALSE,FALSE,0,0.2577,3,-0,não,0.15,0
46556217292,David Whittington,53,PR,Sul,Comércio,136280.12,152633.73,652781.77,1,14441.7,300.08,4500.46,6089.14,142017.05,149730.06027473844,FALSE,FALSE,0,0.2088,1,-0,não,0.14,0
86994533451,Jozlyn Waters,70,SC,Sul,Indústria,270011.42,243010.28,1263653.45,0,19857.32,3422.33,8930.36,8002.16,195883.09,199329.2776114992,FALSE,FALSE,0,0.2137,3,-0,não,0.12,0
46559712396,Mufeeda el-Mostafa,40,MG,Sudeste,Serviços,177828.96,247182.25,825126.37,0,21156.79,92.82,2290.55,7707.96,234789.37,120094.74922628618,FALSE,FALSE,0,0.2155,1,-0,não,0.2,0
45960006982,Jasmine Chavarria,42,PR,Sul,Saúde,121017.88,164584.32,1029862.16,0,13697.91,268.63,3056.89,9673.5,94420.91,98524.38325734549,FALSE,FALSE,0,0.1175,3,-0,não,0.19,0
86994999486,Shafee'a el-Farha,41,RS,Sul,Educação,135443.09,227544.39,647417.97,3,19938.21,636.36,3082.6,86145.22,149043.07,99922.08285578748,FALSE,FALSE,0,0.2092,3,24379.755000000005,sim,0.27,0
42688590574,Anbara el-Bacho,51,RJ,Sudeste,Construção Civil,129957.07,188437.75,374276.36,0,13270.74,807.82,6122.85,7145.71,126050.37,99772.2331975,TRUE,FALSE,0,0.3472,1,-0,não,0.22,0
30967904469,Arial Dupree,50,GO,Centro-Oeste,Comércio,203404.54,217642.86,1031261.02,0,17683.31,369.47,1745.55,5818.55,178523.52,149730.06027473844,FALSE,FALSE,3,0.1972,3,-0,não,0.37,1
50387609366,Blake Wright,42,SP,Sudeste,Comércio,145847.02,199810.42,1298038.48,1,16338.19,368.88,5882.01,8043.7,196219.94,149730.06027473844,TRUE,FALSE,2,0.1124,2,-0,não,0.36,0
50188004736,Alexis Chacon,44,SP,Sudeste,Construção Civil,68613.88,98117.85,334149.6,1,7681.7,2279.09,1450,3171.8,68027.91,99772.2331975,FALSE,FALSE,0,0.2053,1,-0,não,0.23,1
41035382009,Joshua Ritchie,42,MG,Sudeste,Saúde,86309.17,106160.28,433272.03,1,10067.84,598.75,3373.85,11558.82,84009.04,98524.38325734549,FALSE,FALSE,0,0.1992,1,-0,não,0.17,0
60118097506,Kasinee Keys,26,RJ,Sudeste,Financeiro,162202.92,217351.91,689362.41,1,16782.14,299.23,5519.15,12475.37,173405.15,295744.6433800561,FALSE,FALSE,0,0.2353,1,-0,não,0.19,0
45906696000,Madisen Crowe,18,PE,Nordeste,Saúde,109780.2,140518.66,705886.69,1,12321.76,150.69,3626.18,4768.73,122206.26,98524.38325734549,FALSE,FALSE,0,0.1555,1,-0,não,0.17,0
40521780588,John Gilbert,45,PE,Nordeste,Comércio,94419.29,162401.18,546687.69,5,13736.05,14323.88,6073.6,64994.2,108841.74,149730.06027473844,TRUE,FALSE,0,0.1727,2,20772.244999999995,sim,0.42,0
67633481491,Abdul Qayyoom el-Srour,51,BA,Nordeste,Construção Civil,39895.87,40294.83,241370.01,3,2943.4,22.06,1168.86,15358.81,33107.28,99772.2331975,FALSE,FALSE,0,0.1653,1,-0,não,0.11,1
30461251090,Christopher Bowles-Jacks,30,MG,Sudeste,Serviços,169564.86,250955.99,1309040.72,0,22656.52,184.96,8015.53,4069.47,211776.87,120094.74922628618,TRUE,FALSE,1,0.1295,2,-0,não,0.3,0
52810858814,Quinn Sinner,54,SP,Sudeste,Comércio,166139.1,161154.93,1201185.69,0,13101.45,815.16,4684.84,16699.35,127107.23,149730.06027473844,FALSE,FALSE,1,0.1383,3,-0,não,0.19,0
67626443430,Feven Elliott,56,GO,Centro-Oeste,Agropecuária,125769.23,139603.85,970938.46,0,11738.64,336.83,1849.02,2220.92,106023.83,100261.125625,FALSE,FALSE,1,0.1295,1,-0,não,0.22,0
30886645304,Parker Lott,47,MG,Sudeste,Indústria,274356.37,386842.48,2043954.96,0,32607.84,207.38,19496.6,8862.02,318060.59,199329.2776114992,TRUE,FALSE,0,0.1342,2,-0,não,0.2,0
30404567081,Matthew Rosette,36,PR,Sul,Financeiro,409632.11,323609.37,135178.6,0,28738.09,86.22,10636.16,1500.48,273395.05,295744.6433800561,FALSE,FALSE,0,3.0303,1,-0,não,0.06,1
45464563826,Amniyya el-Jalil,47,RS,Sul,Comércio,174541.27,284502.27,1155463.21,1,21507.45,8991.12,6561.66,27603.05,151210.84,149730.06027473844,FALSE,FALSE,0,0.1511,3,22690.36500000005,sim,0.35,0
49083838958,Keenan Schneider,43,RS,Sul,Serviços,140382.06,130555.32,1094980.07,0,9204.25,698.84,1818.39,8642.32,96526.76,120094.74922628618,FALSE,FALSE,0,0.1282,3,-0,não,0.1,4
30189069282,Jose Martinez,29,SP,Sudeste,Educação,114101.48,123229.6,160883.09,3,10862.64,2357.2,1867.73,5111.47,93513.02,99922.08285578748,FALSE,FALSE,0,0.7092,1,-0,não,0.15,1
60119244256,Andy Jain,49,PR,Sul,Serviços,105927.21,147238.82,473494.63,0,12120.61,2349.36,1388.91,16520.5,134289.87,120094.74922628618,FALSE,FALSE,0,0.2237,2,-0,não,0.22,0
